上位のページ,クリック数,表示回数,CTR,掲載順位
https://www.dearmanga.com/fantasy/children-of-the-sea,0,12,0%,8
https://www.dearmanga.com/romance/kobato-manga,0,12,0%,8.08
https://www.dearmanga.com/horror/starving-anonymous,0,12,0%,8.5
https://www.dearmanga.com/action/zettai-karen-children,0,12,0%,10.17
https://www.dearmanga.com/fantasy/pandora-hearts,0,12,0%,15.17
https://www.dearmanga.com/slice-of-life/solitary-gourmet,0,12,0%,17.67
https://www.dearmanga.com/romance/queens-quality,0,12,0%,18.08
https://www.dearmanga.com/slice-of-life/cooking-papa,0,12,0%,19.08
https://www.dearmanga.com/action/hinowa-ga-crush,0,12,0%,19.83
https://www.dearmanga.com/fantasy/magia-record,0,12,0%,21.17
https://www.dearmanga.com/fantasy/deltora-quest,0,12,0%,26.08
https://www.dearmanga.com/sports/gaku,0,12,0%,29.17
https://www.dearmanga.com/sports/monkey-turn,0,11,0%,3.45
https://www.dearmanga.com/romance/w-juliet,0,11,0%,6.73
https://www.dearmanga.com/slice-of-life/ciguatera,0,11,0%,6.82
https://www.dearmanga.com/fantasy/the-water-dragons-bride,0,11,0%,8.36
https://www.dearmanga.com/slice-of-life/heavens-design-team,0,11,0%,10
https://www.dearmanga.com/horror/old-boy,0,11,0%,11
https://www.dearmanga.com/sci-fi/tengoku-daimakyou-manga,0,11,0%,13.45
https://www.dearmanga.com/historical/jin-manga,0,11,0%,13.82
https://www.dearmanga.com/fantasy/wata-no-kuni-hoshi,0,11,0%,17
https://www.dearmanga.com/horror/fourteen,0,11,0%,20.45
https://www.dearmanga.com/sports/kono-oto-tomare,0,11,0%,30.82
https://www.dearmanga.com/romance/futari-ecchi,0,10,0%,5.7
https://www.dearmanga.com/action/do-not-say-mystery,0,10,0%,5.8
https://www.dearmanga.com/romance/library-wars-love-and-war,0,10,0%,7.5
https://www.dearmanga.com/slice-of-life/banana-bread-pudding,0,10,0%,8.2
https://www.dearmanga.com/fantasy/grimgar-of-fantasy-and-ash,0,10,0%,8.3
https://www.dearmanga.com/fantasy/peach-boy-riverside,0,10,0%,8.3
https://www.dearmanga.com/slice-of-life/umimachi-diary,0,10,0%,8.6
https://www.dearmanga.com/action/wangan-midnight,0,10,0%,8.8
https://www.dearmanga.com/romance/haikara-san,0,10,0%,9
https://www.dearmanga.com/fantasy/onmyoji-manga,0,10,0%,9.3
https://www.dearmanga.com/slice-of-life/supernatural-battles,0,10,0%,10.8
https://www.dearmanga.com/sports/circuit-no-okami,0,10,0%,10.9
https://www.dearmanga.com/slice-of-life/wakakozake,0,10,0%,12.3
https://www.dearmanga.com/fantasy/ribbon-no-kishi,0,10,0%,13.1
https://www.dearmanga.com/slice-of-life/the-road-to-manga,0,10,0%,13.8
https://www.dearmanga.com/sci-fi/japan-sinks,0,10,0%,15
https://www.dearmanga.com/romance/omamori-himari,0,10,0%,15.8
https://www.dearmanga.com/sci-fi/suzumiya-haruhi,0,10,0%,19.2
https://www.dearmanga.com/slice-of-life/hitler-mizuki,0,10,0%,19.4
https://www.dearmanga.com/fantasy/toilet-bound-hanako-kun,0,10,0%,20.7
https://www.dearmanga.com/historical/onihei-hankacho,0,10,0%,23.8
https://www.dearmanga.com/action/bobobo-bo-bo-bobo,0,10,0%,27.2
https://www.dearmanga.com/action/rosario-vampire-season-ii,0,10,0%,33.5
https://www.dearmanga.com/action/food-wars-shokugeki-no-soma,0,10,0%,42.1
https://www.dearmanga.com/action/kagerou-daze,0,10,0%,43.3
https://www.dearmanga.com/romance/girlfriend-girlfriend,0,10,0%,66
https://www.dearmanga.com/slice-of-life/mainichi-kaasan,0,9,0%,3.11
https://www.dearmanga.com/romance/nana-to-kaoru,0,9,0%,5.56
https://www.dearmanga.com/action/naki-no-ryu,0,9,0%,5.67
https://www.dearmanga.com/sci-fi/eureka-seven,0,9,0%,8.33
https://www.dearmanga.com/action/god-of-high-school,0,9,0%,8.44
https://www.dearmanga.com/slice-of-life/rakugo-shinjuu,0,9,0%,8.56
https://www.dearmanga.com/fantasy/drifting-dragons,0,9,0%,11.33
https://www.dearmanga.com/romance/a-cruel-god-reigns,0,9,0%,11.67
https://www.dearmanga.com/action/nabari-no-ou,0,9,0%,13.44
https://www.dearmanga.com/horror/tomie,0,9,0%,14.56
https://www.dearmanga.com/slice-of-life/blue-period,0,9,0%,14.67
https://www.dearmanga.com/fantasy/im-quitting-heroing,0,9,0%,16.22
https://www.dearmanga.com/slice-of-life/cells-at-work-code-black,0,9,0%,16.44
https://www.dearmanga.com/slice-of-life/watamote,0,9,0%,17.44
https://www.dearmanga.com/action/mazinger-z,0,9,0%,19.89
https://www.dearmanga.com/action/tokyo-tribes,0,9,0%,24
https://www.dearmanga.com/romance/hitorijime-my-hero,0,9,0%,27
https://www.dearmanga.com/action/shamo-manga,0,9,0%,30.78
https://www.dearmanga.com/romance/nozoki-ana,0,9,0%,37.11
https://www.dearmanga.com/slice-of-life/anohana,0,9,0%,38.78
https://www.dearmanga.com/romance/a-silent-voice,0,9,0%,44.22
https://www.dearmanga.com/fantasy/mythical-detective-loki,0,9,0%,48.56
https://www.dearmanga.com/romance/lovely-complex,0,9,0%,61.56
https://www.dearmanga.com/sports/girls-und-panzer,0,9,0%,61.78
https://www.dearmanga.com/sci-fi/phoenix,0,8,0%,4.88
https://www.dearmanga.com/romance/demon-love-spell,0,8,0%,6.25
https://www.dearmanga.com/action/tetsuya,0,8,0%,6.62
https://www.dearmanga.com/romance/hakuouki,0,8,0%,7.62
https://www.dearmanga.com/action/to-love-ru,0,8,0%,8.88
https://www.dearmanga.com/sports/battle-studies,0,8,0%,9.25
https://www.dearmanga.com/slice-of-life/crime-and-punishment-tezuka,0,8,0%,10.38
https://www.dearmanga.com/romance/gekkan-shoujo-nozaki-kun,0,8,0%,10.5
https://www.dearmanga.com/romance/ai-to-makoto,0,8,0%,12.5
https://www.dearmanga.com/slice-of-life/long-riders,0,8,0%,14.62
https://www.dearmanga.com/horror/ichi-the-killer,0,8,0%,17
